deprel	lemma	valence	conj	type	subtype
ccomp	accepta	()	să	deont	vrea
ccomp	accepta	()	că	deont	vrea
ccomp	afla	()	că	epist	cert
ccomp	ajunge	()	să	face	
ccomp	aminti	()	că	epist	cert
ccomp	aminti	('iobj',)	să	deont	trebui
ccomp	aminti	('iobj',)	că	info	
ccomp	apuca	()	să	face	
ccomp	arăta	()	că	raport	
ccomp	aștepta	()	să	aspect	-inceput
ccomp	auzi	()	că	simt	
ccomp	avertiza	()	să	deont	trebui
ccomp	avertiza	()	că	info	
ccomp	căuta	()	să	deont	intentiona
ccomp	cere	()	să	deont	vrea
ccomp	citi	()	că	raport	
ccomp	continua	()	să	aspect	
ccomp	crede	()	că	epist	probabil
ccomp	cunoaște	()	să	deont	fi capabil
ccomp	cunoaște	()	că	info	
ccomp	da	('iobj',)	să	deont	trebui
ccomp	decide	()	să	deont	vrea
ccomp	decide	()	că	deont	vrea
ccomp	demonstra	()	că	info	
ccomp	descoperi	()	că	epist	cert
ccomp	dori	()	să	deont	vrea
ccomp	face	()	să	deont	trebui
ccomp	făgădui	()	să	deont	intentiona
ccomp	făgădui	()	că	deont	intentiona
ccomp	gândi	()	să	deont	intentiona
ccomp	gândi	()	că	epist	probabil
ccomp	hotărî	()	să	deont	intentiona
ccomp	hotărî	()	că	deont	intentiona
ccomp	începe	()	să	aspect	incepe
ccomp	încerca	()	să	deont	intentiona
ccomp	înceta	()	să	aspect	
ccomp	insista	()	să	deont	trebui
ccomp	insista	()	că	raport	
ccomp	înțelege	()	să	deont	vrea?
ccomp	înțelege	()	că	info	
ccomp	învăța	()	să	deont	fi capabil
ccomp	învăța	()	că	epist	stie
ccomp	lăsa	()	să	deont	permite
ccomp	mărturisi	()	că	raport	
ccomp	menționa	()	că	raport	
ccomp	mulțumi	('iobj',)	că	fapt	apreciativ
ccomp	observa	()	că	epist	cert
ccomp	ordona	()	să	deont	trebui
ccomp	părea	()	să	epist	probabil
ccomp	părea	()	că	epist	probabil
ccomp	permite	('iobj',)	să	deont	permite
ccomp	presupune	()	să	deont	trebui
ccomp	presupune	()	că	epist	probabil
ccomp	pune	()	să	face	
ccomp	putea	()	să	deont	permite/fi capabil
ccomp	răspunde	()	că	raport	
ccomp	recomanda	('iobj',)	să	apreciativ	
ccomp	refuza	()	să	deont	vrea
ccomp	relata	()	că	raport	
ccomp	reuși	()	să	deont	intentiona
ccomp	risca	()	să	epist	posibil
ccomp	scrie	()	că	raport	
ccomp	semnala	()	să	deont	vrea
